source,metric,identity,metric_class,semantic_role,purpose,quality_definedness,current_named_use,normative_destinations,forbidden_use,review_note,normative_status,baseline_commit
correlation,return_energy_rate:measured,correlation/return_energy_rate:measured,temporal_dynamic_or_rate,RELATIONSHIP_STATE,"Return quadratic-variation rate over shared time; measures movement energy per event time, not direction.",Requires temporally valid path overlap/support appropriate to the statistic; missing support is not zero relationship.,,Coordination/Coattail context; Causal relations; Opportunity/Valuation; Hindsight,"Do not infer causality, leadership, common operator, or exploitability from dependence.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
correlation,peer_return_energy_rate,correlation/peer_return_energy_rate,temporal_dynamic_or_rate,RELATIONSHIP_STATE,"Return quadratic-variation rate over shared time; measures movement energy per event time, not direction.",Requires temporally valid path overlap/support appropriate to the statistic; missing support is not zero relationship.,,Coordination/Coattail context; Causal relations; Opportunity/Valuation; Hindsight,"Do not infer causality, leadership, common operator, or exploitability from dependence.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
correlation,focal_return_energy_rate,correlation/focal_return_energy_rate,temporal_dynamic_or_rate,RELATIONSHIP_STATE,"Return quadratic-variation rate over shared time; measures movement energy per event time, not direction.",Requires temporally valid path overlap/support appropriate to the statistic; missing support is not zero relationship.,,Coordination/Coattail context; Causal relations; Opportunity/Valuation; Hindsight,"Do not infer causality, leadership, common operator, or exploitability from dependence.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
correlation,supported_return_count:measured,correlation/supported_return_count:measured,support_or_inference,ESTIMABILITY,Number of supported return increments on that path; inference support only.,Controls estimability/uncertainty of an inference. Never directional evidence and never a hand-tuned weight.,,Coordination/Coattail context; Causal relations; Opportunity/Valuation; Hindsight; Estimator/valuation definedness and uncertainty,"Do not infer causality, leadership, common operator, or exploitability from dependence. Do not use support/p-value/SE/sample count as directional evidence or multiply it into the observed value.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
correlation,supported_return_count:reference,correlation/supported_return_count:reference,support_or_inference,ESTIMABILITY,Number of supported return increments on that path; inference support only.,Controls estimability/uncertainty of an inference. Never directional evidence and never a hand-tuned weight.,,Coordination/Coattail context; Causal relations; Opportunity/Valuation; Hindsight; Estimator/valuation definedness and uncertainty,"Do not infer causality, leadership, common operator, or exploitability from dependence. Do not use support/p-value/SE/sample count as directional evidence or multiply it into the observed value.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
correlation,shared_time,correlation/shared_time,derived_measurement,RELATIONSHIP_STATE,Elapsed time jointly represented by the compared paths; support provenance.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Coordination/Coattail context; Causal relations; Opportunity/Valuation; Hindsight,"Do not infer causality, leadership, common operator, or exploitability from dependence.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
correlation,overlap_density,correlation/overlap_density,derived_measurement,RELATIONSHIP_STATE,Density of supported return overlap in shared time; sampling/support context.,Requires temporally valid path overlap/support appropriate to the statistic; missing support is not zero relationship.,,Coordination/Coattail context; Causal relations; Opportunity/Valuation; Hindsight,"Do not infer causality, leadership, common operator, or exploitability from dependence.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
correlation,overlap_pair_count,correlation/overlap_pair_count,support_or_inference,ESTIMABILITY,Number of matched return pairs used by the dependence estimate; support only.,Controls estimability/uncertainty of an inference. Never directional evidence and never a hand-tuned weight.,,Coordination/Coattail context; Causal relations; Opportunity/Valuation; Hindsight; Estimator/valuation definedness and uncertainty,"Do not infer causality, leadership, common operator, or exploitability from dependence. Do not use support/p-value/SE/sample count as directional evidence or multiply it into the observed value.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
correlation,effective_sample_count,correlation/effective_sample_count,support_or_inference,ESTIMABILITY,Effective independent support for correlation inference; informs uncertainty/definedness.,Controls estimability/uncertainty of an inference. Never directional evidence and never a hand-tuned weight.,,Coordination/Coattail context; Causal relations; Opportunity/Valuation; Hindsight; Estimator/valuation definedness and uncertainty,"Do not infer causality, leadership, common operator, or exploitability from dependence. Do not use support/p-value/SE/sample count as directional evidence or multiply it into the observed value.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
correlation,correlation_p_value,correlation/correlation_p_value,support_or_inference,ESTIMABILITY,"Inferential p-value for the measured correlation under its stated assumptions; reliability evidence, not trading probability.",Controls estimability/uncertainty of an inference. Never directional evidence and never a hand-tuned weight.,,Coordination/Coattail context; Causal relations; Opportunity/Valuation; Hindsight; Estimator/valuation definedness and uncertainty,"Do not infer causality, leadership, common operator, or exploitability from dependence. Do not use support/p-value/SE/sample count as directional evidence or multiply it into the observed value.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
correlation,correlation_standard_error_fisher,correlation/correlation_standard_error_fisher,support_or_inference,ESTIMABILITY,Fisher-space standard error of correlation; uncertainty of the estimate.,Controls estimability/uncertainty of an inference. Never directional evidence and never a hand-tuned weight.,,Coordination/Coattail context; Causal relations; Opportunity/Valuation; Hindsight; Estimator/valuation definedness and uncertainty,"Do not infer causality, leadership, common operator, or exploitability from dependence. Do not use support/p-value/SE/sample count as directional evidence or multiply it into the observed value.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
correlation,cohort_peer_count,correlation/cohort_peer_count,direct_or_derived_measurement,RELATIONSHIP_STATE,"Number of explicit peers represented; cohort provenance, not evidence weight.",Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Coordination/Coattail context; Causal relations; Opportunity/Valuation; Hindsight,"Do not infer causality, leadership, common operator, or exploitability from dependence.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
correlation,cohort_correlation_dispersion,correlation/cohort_correlation_dispersion,derived_dimensionless,RELATIONSHIP_STATE,Heterogeneity of focal correlations across peers; distinguishes one common relationship from mixed peer coupling.,Requires temporally valid path overlap/support appropriate to the statistic; missing support is not zero relationship.,Category:DivergentStress,Category(current; review semantics); Coordination/Coattail context; Causal relations; Opportunity/Valuation; Hindsight,"Do not infer causality, leadership, common operator, or exploitability from dependence.",,KEEP_NAMED_USE,993c147ea9a3eb371c5b51d3210088bd8aec708a
correlation,cohort_effective_peer_count,correlation/cohort_effective_peer_count,direct_or_derived_measurement,RELATIONSHIP_STATE,Effective peer support after dependence/weighting; uncertainty/support provenance.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Coordination/Coattail context; Causal relations; Opportunity/Valuation; Hindsight,"Do not infer causality, leadership, common operator, or exploitability from dependence.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
correlation,relative_return_energy,correlation/relative_return_energy,direct_or_derived_measurement,RELATIONSHIP_STATE,Focal-vs-peer return-energy ratio/contrast describing relative movement magnitude.,Requires temporally valid path overlap/support appropriate to the statistic; missing support is not zero relationship.,,Coordination/Coattail context; Causal relations; Opportunity/Valuation; Hindsight,"Do not infer causality, leadership, common operator, or exploitability from dependence.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
correlation,relative_cohort_return_energy,correlation/relative_cohort_return_energy,direct_or_derived_measurement,RELATIONSHIP_STATE,Focal-vs-cohort return-energy contrast.,Requires temporally valid path overlap/support appropriate to the statistic; missing support is not zero relationship.,,Coordination/Coattail context; Causal relations; Opportunity/Valuation; Hindsight,"Do not infer causality, leadership, common operator, or exploitability from dependence.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
correlation,correlation_baseline,correlation/correlation_baseline,historical_reference,CONTEXT_OR_MODEL_FEATURE,Causal historical reference level of correlation for this relation.,Requires prior causal estimator/state appropriate to the metric; undefined until that prerequisite exists.,,Coordination/Coattail context; Causal relations; Opportunity/Valuation; Hindsight,"Do not infer causality, leadership, common operator, or exploitability from dependence. Baseline is reference state, not a trading signal.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
correlation,correlation_divergence,correlation/correlation_divergence,historical_comparison,CONTEXT_OR_MODEL_FEATURE,Current correlation departure from its causal historical reference.,Requires prior causal estimator/state appropriate to the metric; undefined until that prerequisite exists.,Category:DivergentStress,Category(current; review semantics); Coordination/Coattail context; Causal relations; Opportunity/Valuation; Hindsight,"Do not infer causality, leadership, common operator, or exploitability from dependence.",,KEEP_NAMED_USE,993c147ea9a3eb371c5b51d3210088bd8aec708a
correlation,correlation_zscore,correlation/correlation_zscore,standardized_historical_comparison,CONTEXT_OR_MODEL_FEATURE,Standardized unusualness of current correlation relative to its own history.,"Requires a causal baseline/noise model. Definedness and estimator support matter; magnitude is unusualness, not probability.",Category:StochasticNoise,Category(current; review semantics); Coordination/Coattail context; Causal relations; Opportunity/Valuation; Hindsight,"Do not infer causality, leadership, common operator, or exploitability from dependence. Z-score is standardized unusualness, not probability/confidence and not a universal [0,1] weight.",,KEEP_NAMED_USE,993c147ea9a3eb371c5b51d3210088bd8aec708a
correlation,correlation_velocity,correlation/correlation_velocity,temporal_dynamic_or_rate,CONTEXT_OR_MODEL_FEATURE,Rate at which the current correlation state is changing.,Requires prior causal estimator/state appropriate to the metric; undefined until that prerequisite exists.,,Coordination/Coattail context; Causal relations; Opportunity/Valuation; Hindsight,"Do not infer causality, leadership, common operator, or exploitability from dependence.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
correlation,relative_return_energy_baseline,correlation/relative_return_energy_baseline,historical_reference,CONTEXT_OR_MODEL_FEATURE,Causal historical reference for relative return energy.,Requires prior causal estimator/state appropriate to the metric; undefined until that prerequisite exists.,,Coordination/Coattail context; Causal relations; Opportunity/Valuation; Hindsight,"Do not infer causality, leadership, common operator, or exploitability from dependence. Baseline is reference state, not a trading signal.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
correlation,relative_return_energy_divergence,correlation/relative_return_energy_divergence,historical_comparison,CONTEXT_OR_MODEL_FEATURE,Departure of focal-vs-peer movement energy from its historical reference.,Requires prior causal estimator/state appropriate to the metric; undefined until that prerequisite exists.,Category:DecoupledAlpha,Category(current; review semantics); Coordination/Coattail context; Causal relations; Opportunity/Valuation; Hindsight,"Do not infer causality, leadership, common operator, or exploitability from dependence.",,KEEP_NAMED_USE,993c147ea9a3eb371c5b51d3210088bd8aec708a
correlation,relative_return_energy_zscore,correlation/relative_return_energy_zscore,standardized_historical_comparison,CONTEXT_OR_MODEL_FEATURE,Standardized unusualness of relative movement energy.,"Requires a causal baseline/noise model. Definedness and estimator support matter; magnitude is unusualness, not probability.",Category:DecoupledAlpha,Category(current; review semantics); Coordination/Coattail context; Causal relations; Opportunity/Valuation; Hindsight,"Do not infer causality, leadership, common operator, or exploitability from dependence. Z-score is standardized unusualness, not probability/confidence and not a universal [0,1] weight.",,KEEP_NAMED_USE,993c147ea9a3eb371c5b51d3210088bd8aec708a
correlation,relative_return_energy_velocity,correlation/relative_return_energy_velocity,temporal_dynamic_or_rate,CONTEXT_OR_MODEL_FEATURE,Rate of change of relative movement energy.,Requires prior causal estimator/state appropriate to the metric; undefined until that prerequisite exists.,,Coordination/Coattail context; Causal relations; Opportunity/Valuation; Hindsight,"Do not infer causality, leadership, common operator, or exploitability from dependence.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
cvd,trade_count,cvd/trade_count,direct_or_derived_measurement,FLOW_STATE,Executed trade-event count over the retained interval.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Flow context; Causal relations; Opportunity/Valuation; Hindsight,Do not label aggressive flow as pressure/confirmation/absorption or forecast direction from it alone.,,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
cvd,trade_count:buy,cvd/trade_count:buy,direct_or_derived_measurement,FLOW_STATE,Executed trade-event count on the buy aggressor side.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Flow context; Causal relations; Opportunity/Valuation; Hindsight,Do not label aggressive flow as pressure/confirmation/absorption or forecast direction from it alone.,,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
cvd,trade_count:sell,cvd/trade_count:sell,direct_or_derived_measurement,FLOW_STATE,Executed trade-event count on the sell aggressor side.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Flow context; Causal relations; Opportunity/Valuation; Hindsight,Do not label aggressive flow as pressure/confirmation/absorption or forecast direction from it alone.,,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
cvd,signed_count_fraction,cvd/signed_count_fraction,derived_dimensionless,FLOW_STATE,Aggressor-side imbalance by event count; separates event-frequency imbalance from economic-size imbalance.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Flow context; Causal relations; Opportunity/Valuation; Hindsight,Do not label aggressive flow as pressure/confirmation/absorption or forecast direction from it alone.,,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
cvd,executed_quantity:buy,cvd/executed_quantity:buy,direct_or_derived_measurement,FLOW_STATE,Executed base quantity on the buy aggressor side.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Flow context; Causal relations; Opportunity/Valuation; Hindsight,Do not label aggressive flow as pressure/confirmation/absorption or forecast direction from it alone.,,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
cvd,executed_quantity:sell,cvd/executed_quantity:sell,direct_or_derived_measurement,FLOW_STATE,Executed base quantity on the sell aggressor side.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Flow context; Causal relations; Opportunity/Valuation; Hindsight,Do not label aggressive flow as pressure/confirmation/absorption or forecast direction from it alone.,,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
cvd,gross_executed_quantity,cvd/gross_executed_quantity,direct_or_derived_measurement,FLOW_STATE,Total executed base quantity independent of side.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Flow context; Causal relations; Opportunity/Valuation; Hindsight,Do not label aggressive flow as pressure/confirmation/absorption or forecast direction from it alone.,,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
cvd,net_executed_quantity,cvd/net_executed_quantity,direct_or_derived_measurement,FLOW_STATE,Signed executed base-quantity imbalance.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Flow context; Causal relations; Opportunity/Valuation; Hindsight,Do not label aggressive flow as pressure/confirmation/absorption or forecast direction from it alone.,,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
cvd,aggressive_notional:buy,cvd/aggressive_notional:buy,direct_or_derived_measurement,FLOW_STATE,Executed quote-currency notional initiated on the buy side.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Flow context; Causal relations; Opportunity/Valuation; Hindsight,Do not label aggressive flow as pressure/confirmation/absorption or forecast direction from it alone.,,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
cvd,aggressive_notional:sell,cvd/aggressive_notional:sell,direct_or_derived_measurement,FLOW_STATE,Executed quote-currency notional initiated on the sell side.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Flow context; Causal relations; Opportunity/Valuation; Hindsight,Do not label aggressive flow as pressure/confirmation/absorption or forecast direction from it alone.,,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
cvd,gross_notional,cvd/gross_notional,direct_or_derived_measurement,FLOW_STATE,Total executed economic notional independent of side.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Flow context; Causal relations; Opportunity/Valuation; Hindsight,Do not label aggressive flow as pressure/confirmation/absorption or forecast direction from it alone.,,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
cvd,net_notional,cvd/net_notional,direct_or_derived_measurement,FLOW_STATE,Signed aggressive executed notional.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Flow context; Causal relations; Opportunity/Valuation; Hindsight,Do not label aggressive flow as pressure/confirmation/absorption or forecast direction from it alone.,,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
cvd,signed_net_fraction,cvd/signed_net_fraction,derived_dimensionless,FLOW_STATE,Scale-free signed share of gross aggressive notional; primary directional executed-flow state.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Flow context; Causal relations; Opportunity/Valuation; Hindsight,Do not label aggressive flow as pressure/confirmation/absorption or forecast direction from it alone.,,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
cvd,mean_trade_notional,cvd/mean_trade_notional,direct_or_derived_measurement,FLOW_STATE,Mean economic size per execution; separates many-small from few-large trade activity.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Flow context; Causal relations; Opportunity/Valuation; Hindsight,Do not label aggressive flow as pressure/confirmation/absorption or forecast direction from it alone.,,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
cvd,trade_rate,cvd/trade_rate,temporal_dynamic_or_rate,FLOW_STATE,Execution event frequency per second.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Flow context; Causal relations; Opportunity/Valuation; Hindsight,Do not label aggressive flow as pressure/confirmation/absorption or forecast direction from it alone.,,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
cvd,gross_notional_rate,cvd/gross_notional_rate,temporal_dynamic_or_rate,FLOW_STATE,Total aggressive economic throughput per second.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Flow context; Causal relations; Opportunity/Valuation; Hindsight,Do not label aggressive flow as pressure/confirmation/absorption or forecast direction from it alone.,,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
cvd,net_notional_rate,cvd/net_notional_rate,temporal_dynamic_or_rate,FLOW_STATE,Signed aggressive notional accumulation per second.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Flow context; Causal relations; Opportunity/Valuation; Hindsight,Do not label aggressive flow as pressure/confirmation/absorption or forecast direction from it alone.,,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
cvd,buy_notional_rate,cvd/buy_notional_rate,temporal_dynamic_or_rate,FLOW_STATE,Aggressive buy notional throughput per second.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Flow context; Causal relations; Opportunity/Valuation; Hindsight,Do not label aggressive flow as pressure/confirmation/absorption or forecast direction from it alone.,,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
cvd,sell_notional_rate,cvd/sell_notional_rate,temporal_dynamic_or_rate,FLOW_STATE,Aggressive sell notional throughput per second.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Flow context; Causal relations; Opportunity/Valuation; Hindsight,Do not label aggressive flow as pressure/confirmation/absorption or forecast direction from it alone.,,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
cvd,cumulative_volume_delta,cvd/cumulative_volume_delta,derived_measurement,FLOW_STATE,"Epoch-anchored cumulative signed base quantity; use interval differences, never compare arbitrary epochs.",Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Flow context; Causal relations; Opportunity/Valuation; Hindsight,Do not label aggressive flow as pressure/confirmation/absorption or forecast direction from it alone.,,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
cvd,cumulative_notional_delta,cvd/cumulative_notional_delta,direct_or_derived_measurement,FLOW_STATE,"Epoch-anchored cumulative signed notional; use interval differences, never compare arbitrary epochs.",Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Flow context; Causal relations; Opportunity/Valuation; Hindsight,Do not label aggressive flow as pressure/confirmation/absorption or forecast direction from it alone.,,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
cvd,cvd_epoch_from,cvd/cvd_epoch_from,derived_measurement,FLOW_STATE,Origin/provenance of cumulative CVD state.,Direct/derived fact remains valid when its stated source observations are valid; historical Maturity is not required unless the metric itself depends on history.,,Flow context; Causal relations; Opportunity/Valuation; Hindsight,Do not label aggressive flow as pressure/confirmation/absorption or forecast direction from it alone.,,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
cvd,signed_net_fraction_baseline,cvd/signed_net_fraction_baseline,historical_reference,CONTEXT_OR_MODEL_FEATURE,Causal historical reference for `signed_net_fraction`.,Requires prior causal estimator/state appropriate to the metric; undefined until that prerequisite exists.,,Flow context; Causal relations; Opportunity/Valuation; Hindsight,"Do not label aggressive flow as pressure/confirmation/absorption or forecast direction from it alone. Baseline is reference state, not a trading signal.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
cvd,signed_net_fraction_divergence,cvd/signed_net_fraction_divergence,historical_comparison,CONTEXT_OR_MODEL_FEATURE,Current departure of the underlying `signed_net_fraction_divergence` quantity from its causal historical reference.,Requires prior causal estimator/state appropriate to the metric; undefined until that prerequisite exists.,Category:AggressiveDrive,Category(current; review semantics); Flow context; Causal relations; Opportunity/Valuation; Hindsight,Do not label aggressive flow as pressure/confirmation/absorption or forecast direction from it alone.,,KEEP_NAMED_USE,993c147ea9a3eb371c5b51d3210088bd8aec708a
cvd,signed_net_fraction_zscore,cvd/signed_net_fraction_zscore,standardized_historical_comparison,CONTEXT_OR_MODEL_FEATURE,Standardized historical unusualness of the underlying `signed_net_fraction_zscore` quantity.,"Requires a causal baseline/noise model. Definedness and estimator support matter; magnitude is unusualness, not probability.","Category:AggressiveDrive,VerticalIgnition; advisor:historical",Category(current; review semantics); advisor:historical; Flow context; Causal relations; Opportunity/Valuation; Hindsight,"Do not label aggressive flow as pressure/confirmation/absorption or forecast direction from it alone. Z-score is standardized unusualness, not probability/confidence and not a universal [0,1] weight.",,KEEP_NAMED_USE,993c147ea9a3eb371c5b51d3210088bd8aec708a
cvd,gross_notional_rate_baseline,cvd/gross_notional_rate_baseline,historical_reference,CONTEXT_OR_MODEL_FEATURE,Causal historical reference for `gross_notional_rate`.,Requires prior causal estimator/state appropriate to the metric; undefined until that prerequisite exists.,,Flow context; Causal relations; Opportunity/Valuation; Hindsight,"Do not label aggressive flow as pressure/confirmation/absorption or forecast direction from it alone. Baseline is reference state, not a trading signal.",,UNMAPPED_REVIEW,993c147ea9a3eb371c5b51d3210088bd8aec708a
