source,metric,spec_status,implementation_status,ownership_status,purpose,action,baseline_commit
liquidity,divergence_velocity_snr:spread,specified conditional,NOT_PROJECTED,LIQUIDITY_CANONICAL,Slope power relative to regression uncertainty for spread-divergence velocity.,Implement only when the restored Liquidity estimator architecture is deliberately scheduled; preserve causal baseline/noise/definedness semantics.,993c147ea9a3eb371c5b51d3210088bd8aec708a
liquidity,historical_path_distance,SHOULD minimal set,NOT_PROJECTED,LIQUIDITY_CANONICAL,Distance from current standardized liquidity trajectory to its closest prior non-overlapping analogue.,Implement only when the restored Liquidity estimator architecture is deliberately scheduled; preserve causal baseline/noise/definedness semantics.,993c147ea9a3eb371c5b51d3210088bd8aec708a
liquidity,historical_path_percentile,SHOULD minimal set,NOT_PROJECTED,LIQUIDITY_CANONICAL,Empirical percentile of nearest historical liquidity-path distance.,Implement only when the restored Liquidity estimator architecture is deliberately scheduled; preserve causal baseline/noise/definedness semantics.,993c147ea9a3eb371c5b51d3210088bd8aec708a
liquidity,historical_match_from,specified,NOT_PROJECTED,LIQUIDITY_CANONICAL,Start timestamp of the closest prior non-overlapping liquidity trajectory.,Implement only when the restored Liquidity estimator architecture is deliberately scheduled; preserve causal baseline/noise/definedness semantics.,993c147ea9a3eb371c5b51d3210088bd8aec708a
liquidity,depth_concentration:bid,optional full-book morphology,NOT_PROJECTED_BY_LIQUIDITY,SPEC_CONFLICT_WITH_SIGNAL_MORPHOLOGY,Scale-free full-book morphology specified historically inside Liquidity.,Reconcile ownership before implementation. Current canonical analogue: morphology/concentration:bid. Do not duplicate both producers.,993c147ea9a3eb371c5b51d3210088bd8aec708a
liquidity,depth_concentration:ask,optional full-book morphology,NOT_PROJECTED_BY_LIQUIDITY,SPEC_CONFLICT_WITH_SIGNAL_MORPHOLOGY,Scale-free full-book morphology specified historically inside Liquidity.,Reconcile ownership before implementation. Current canonical analogue: morphology/concentration:ask. Do not duplicate both producers.,993c147ea9a3eb371c5b51d3210088bd8aec708a
liquidity,effective_depth_levels:bid,optional full-book morphology,NOT_PROJECTED_BY_LIQUIDITY,SPEC_CONFLICT_WITH_SIGNAL_MORPHOLOGY,Scale-free full-book morphology specified historically inside Liquidity.,Reconcile ownership before implementation. No current morphology projection. Do not duplicate both producers.,993c147ea9a3eb371c5b51d3210088bd8aec708a
liquidity,effective_depth_levels:ask,optional full-book morphology,NOT_PROJECTED_BY_LIQUIDITY,SPEC_CONFLICT_WITH_SIGNAL_MORPHOLOGY,Scale-free full-book morphology specified historically inside Liquidity.,Reconcile ownership before implementation. No current morphology projection. Do not duplicate both producers.,993c147ea9a3eb371c5b51d3210088bd8aec708a
liquidity,depth_entropy:bid,optional full-book morphology,NOT_PROJECTED_BY_LIQUIDITY,SPEC_CONFLICT_WITH_SIGNAL_MORPHOLOGY,Scale-free full-book morphology specified historically inside Liquidity.,Reconcile ownership before implementation. Current canonical analogue: morphology/entropy:bid. Do not duplicate both producers.,993c147ea9a3eb371c5b51d3210088bd8aec708a
liquidity,depth_entropy:ask,optional full-book morphology,NOT_PROJECTED_BY_LIQUIDITY,SPEC_CONFLICT_WITH_SIGNAL_MORPHOLOGY,Scale-free full-book morphology specified historically inside Liquidity.,Reconcile ownership before implementation. Current canonical analogue: morphology/entropy:ask. Do not duplicate both producers.,993c147ea9a3eb371c5b51d3210088bd8aec708a
liquidity,depth_center_of_mass:bid,optional full-book morphology,NOT_PROJECTED_BY_LIQUIDITY,SPEC_CONFLICT_WITH_SIGNAL_MORPHOLOGY,Scale-free full-book morphology specified historically inside Liquidity.,Reconcile ownership before implementation. No current morphology projection. Do not duplicate both producers.,993c147ea9a3eb371c5b51d3210088bd8aec708a
liquidity,depth_center_of_mass:ask,optional full-book morphology,NOT_PROJECTED_BY_LIQUIDITY,SPEC_CONFLICT_WITH_SIGNAL_MORPHOLOGY,Scale-free full-book morphology specified historically inside Liquidity.,Reconcile ownership before implementation. No current morphology projection. Do not duplicate both producers.,993c147ea9a3eb371c5b51d3210088bd8aec708a
liquidity,depth_dispersion:bid,optional full-book morphology,NOT_PROJECTED_BY_LIQUIDITY,SPEC_CONFLICT_WITH_SIGNAL_MORPHOLOGY,Scale-free full-book morphology specified historically inside Liquidity.,Reconcile ownership before implementation. No current morphology projection. Do not duplicate both producers.,993c147ea9a3eb371c5b51d3210088bd8aec708a
liquidity,depth_dispersion:ask,optional full-book morphology,NOT_PROJECTED_BY_LIQUIDITY,SPEC_CONFLICT_WITH_SIGNAL_MORPHOLOGY,Scale-free full-book morphology specified historically inside Liquidity.,Reconcile ownership before implementation. No current morphology projection. Do not duplicate both producers.,993c147ea9a3eb371c5b51d3210088bd8aec708a
liquidity,bid_ask_shape_distance,optional full-book morphology,NOT_PROJECTED_BY_LIQUIDITY,SPEC_CONFLICT_WITH_SIGNAL_MORPHOLOGY,Scale-free full-book morphology specified historically inside Liquidity.,Reconcile ownership before implementation. Current canonical analogue: morphology/book_shape_distance. Do not duplicate both producers.,993c147ea9a3eb371c5b51d3210088bd8aec708a
liquidity,price_spacing_cv:bid,optional full-book morphology,NOT_PROJECTED_BY_LIQUIDITY,SPEC_CONFLICT_WITH_SIGNAL_MORPHOLOGY,Scale-free full-book morphology specified historically inside Liquidity.,Reconcile ownership before implementation. No current morphology projection. Do not duplicate both producers.,993c147ea9a3eb371c5b51d3210088bd8aec708a
liquidity,price_spacing_cv:ask,optional full-book morphology,NOT_PROJECTED_BY_LIQUIDITY,SPEC_CONFLICT_WITH_SIGNAL_MORPHOLOGY,Scale-free full-book morphology specified historically inside Liquidity.,Reconcile ownership before implementation. No current morphology projection. Do not duplicate both producers.,993c147ea9a3eb371c5b51d3210088bd8aec708a
liquidity,quantity_repetition:bid,optional full-book morphology,NOT_PROJECTED_BY_LIQUIDITY,SPEC_CONFLICT_WITH_SIGNAL_MORPHOLOGY,Scale-free full-book morphology specified historically inside Liquidity.,Reconcile ownership before implementation. No current morphology projection. Do not duplicate both producers.,993c147ea9a3eb371c5b51d3210088bd8aec708a
liquidity,quantity_repetition:ask,optional full-book morphology,NOT_PROJECTED_BY_LIQUIDITY,SPEC_CONFLICT_WITH_SIGNAL_MORPHOLOGY,Scale-free full-book morphology specified historically inside Liquidity.,Reconcile ownership before implementation. No current morphology projection. Do not duplicate both producers.,993c147ea9a3eb371c5b51d3210088bd8aec708a
liquidity,shape_change_distance:bid,optional full-book morphology,NOT_PROJECTED_BY_LIQUIDITY,SPEC_CONFLICT_WITH_SIGNAL_MORPHOLOGY,Scale-free full-book morphology specified historically inside Liquidity.,"Reconcile ownership before implementation. Current morphology/morphology_change is whole-book, not side-specific. Do not duplicate both producers.",993c147ea9a3eb371c5b51d3210088bd8aec708a
liquidity,shape_change_distance:ask,optional full-book morphology,NOT_PROJECTED_BY_LIQUIDITY,SPEC_CONFLICT_WITH_SIGNAL_MORPHOLOGY,Scale-free full-book morphology specified historically inside Liquidity.,"Reconcile ownership before implementation. Current morphology/morphology_change is whole-book, not side-specific. Do not duplicate both producers.",993c147ea9a3eb371c5b51d3210088bd8aec708a
